6.6	0.24	0.38	12.75	0.034	8	74	0.99386	3.1	0.57	12.9	6	
6.6	0.33	0.4	2.65	0.041	35	86	0.98916	3.11	0.39	13.3	7	
6.6	0.25	0.34	3	0.054	22	141	0.99338	3.26	0.47	10.4	6	
6.6	0.34	0.24	3.3	0.034	29	99	0.99031	3.1	0.4	12.3	7	
5.8	0.3	0.42	1.1	0.036	19	113	0.98871	3.1	0.46	12.6	7	
6.6	0.34	0.24	3.3	0.034	29	99	0.99031	3.1	0.4	12.3	7	
6.8	0.22	0.41	6.7	0.034	39	116	0.99245	3.18	0.46	11.5	6	
6.7	0.13	0.45	4.2	0.043	52	131	0.99162	3.06	0.54	11.3	6	
6.7	0.24	0.37	11.3	0.043	64	173	0.99632	3.08	0.53	9.9	6	
7.1	0.38	0.4	2.2	0.042	54	201	0.99177	3.03	0.5	11.4	5	
6.3	0.32	0.32	1.5	0.03	24	101	0.98923	3.21	0.42	13	5	
5.9	0.24	0.12	1.4	0.035	60	247	0.99358	3.34	0.44	9.6	6	
8.1	0.24	0.32	10.5	0.03	34	105	0.99407	3.11	0.42	11.8	6	
5.8	0.23	0.2	2	0.043	39	154	0.99226	3.21	0.39	10.2	6	
7.5	0.33	0.36	2.6	0.051	26	126	0.99097	3.32	0.53	12.7	6	
6.1	0.22	0.31	1.4	0.039	40	129	0.99193	3.45	0.59	10.9	5	
6.5	0.48	0.02	0.9	0.043	32	99	0.99226	3.14	0.47	9.8	4	
6.4	0.16	0.25	1.4	0.057	21	125	0.99091	3.23	0.44	11.1	7	
7.4	0.16	0.32	1.4	0.065	23	140	0.99134	3.06	0.47	11.4	6	
6.7	0.12	0.36	2.3	0.039	43	125	0.99229	3.07	0.67	10.1	7	
7.8	0.25	0.37	1	0.043	10	80	0.99128	3.08	0.38	11.4	5	
5.6	0.12	0.33	2.9	0.044	21	73	0.98896	3.17	0.32	12.9	8	
6.3	0.24	0.35	2.3	0.039	43	109	0.99056	3.34	0.44	11.8	6	
7.8	0.25	0.37	1	0.043	10	80	0.99128	3.08	0.38	11.4	5	
5.6	0.12	0.33	2.9	0.044	21	73	0.98896	3.17	0.32	12.9	8	
6.3	0.22	0.34	5	0.032	36	93	0.99012	3.27	0.36	13.5	7	
6.3	0.19	0.29	2	0.022	33	96	0.98902	3.04	0.54	12.8	7	
9.4	0.24	0.29	8.5	0.037	124	208	0.99395	2.9	0.38	11	3	
6.4	0.35	0.28	12.6	0.039	19	124	0.99539	3.2	0.43	10.6	6	
5.9	0.24	0.28	1.3	0.032	36	95	0.98889	3.08	0.64	12.9	7	
7.3	0.145	0.33	1.1	0.042	14	64	0.99012	3.1	0.37	11.8	7	
6.6	0.435	0.38	9.2	0.058	66	243	0.99833	3.23	0.54	9.1	6	
5.8	0.18	0.37	1.2	0.036	19	74	0.98853	3.09	0.49	12.7	7	
5.6	0.32	0.32	8.3	0.043	32	105	0.99266	3.24	0.47	11.2	6	
5.7	0.26	0.3	1.8	0.039	30	105	0.98995	3.48	0.52	12.5	7	
6.8	0.25	0.28	5	0.035	42	126	0.99048	3.12	0.38	12.6	7	
6.6	0.17	0.28	1.8	0.042	62	178	0.99204	3.15	0.42	10.2	5	
6.7	0.21	0.34	1.4	0.049	36	112	0.99091	3.02	0.5	11	6	
6.7	0.23	0.33	8.1	0.048	45	176	0.99472	3.11	0.52	10.1	6	
6.5	0.22	0.28	3.7	0.059	29	151	0.99177	3.23	0.41	12.1	7	
7.2	0.27	0.28	15.2	0.046	6	41	0.99665	3.17	0.39	10.9	6	
7.2	0.27	0.28	15.2	0.046	6	41	0.99665	3.17	0.39	10.9	6	
6	0.22	0.28	1.1	0.034	47	90	0.98862	3.22	0.38	12.6	6	
6.7	0.36	0.28	8.3	0.034	29	81	0.99151	2.96	0.39	12.5	6	
6.7	0.36	0.28	8.3	0.034	29	81	0.99151	2.96	0.39	12.5	6	
7.1	0.18	0.49	1.3	0.033	12	72	0.99072	3.05	0.53	11.3	7	
6	0.22	0.28	1.1	0.034	47	90	0.98862	3.22	0.38	12.6	6	
6	0.2	0.26	1.1	0.033	38	67	0.98954	3.14	0.38	11.5	6	
6	0.29	0.25	1.4	0.033	30	114	0.98794	3.08	0.43	13.2	6	
7	0.22	0.28	10.6	0.039	32	117	0.99355	3.05	0.55	11.5	7	
6	0.29	0.25	1.4	0.033	30	114	0.98794	3.08	0.43	13.2	6	
5.6	0.15	0.26	5.55	0.051	51	139	0.99336	3.47	0.5	11	6	
6.9	0.28	0.24	2.1	0.034	49	121	0.98882	2.98	0.43	13.2	7	
5.9	0.19	0.21	1.7	0.045	57	135	0.99341	3.32	0.44	9.5	5	
6.1	0.28	0.27	4.7	0.03	56	140	0.99042	3.16	0.42	12.5	8	
6.1	0.28	0.27	4.7	0.03	56	140	0.99042	3.16	0.42	12.5	8	
6.6	0.24	0.3	11.3	0.026	11	77	0.99381	3.13	0.55	12.8	7	
6.9	0.28	0.3	8.3	0.026	37	113	0.99139	2.99	0.38	12.3	8	
8	0.28	0.3	8.4	0.03	35	115	0.99192	2.93	0.42	12.3	6	
6.1	0.33	0.32	7.8	0.052	52	183	0.99657	3.39	0.65	9.5	5	
7.7	0.46	0.18	3.3	0.054	18	143	0.99392	3.12	0.51	10.8	6	
8.8	0.19	0.3	5	0.028	34	120	0.99242	2.94	0.47	11.2	5	
7.7	0.46	0.18	3.3	0.054	18	143	0.99392	3.12	0.51	10.8	6	
5.8	0.15	0.32	1.2	0.037	14	119	0.99137	3.19	0.5	10.2	6	
6.1	0.33	0.32	7.8	0.052	52	183	0.99657	3.39	0.65	9.5	5	
7.6	0.28	0.49	20.15	0.06	30	145	1.00196	3.01	0.44	8.5	5	
7.1	0.18	0.39	14.5	0.051	48	156	0.99947	3.35	0.78	9.1	5	
7.1	0.17	0.4	14.55	0.047	47	156	0.99945	3.34	0.78	9.1	6	
7.1	0.17	0.4	14.55	0.047	47	156	0.99945	3.34	0.78	9.1	6	
7.1	0.18	0.39	14.5	0.051	48	156	0.99947	3.35	0.78	9.1	5	
7.1	0.17	0.4	14.55	0.047	47	156	0.99945	3.34	0.78	9.1	6	
7.8	0.29	0.29	3.15	0.044	41	117	0.99153	3.24	0.35	11.5	5	
6.2	0.255	0.27	1.3	0.037	30	86	0.98834	3.05	0.59	12.9	7	
8.2	0.34	0.29	5.2	0.076	19	92	0.99138	2.95	0.39	12.5	6	
6.5	0.24	0.28	1.1	0.034	26	83	0.98928	3.25	0.33	12.3	6	
6.9	0.24	0.23	7.1	0.041	20	97	0.99246	3.1	0.85	11.4	6	
6.7	0.3	0.44	18.5	0.057	65	224	0.99956	3.11	0.53	9.1	5	
5.9	0.27	0.27	5	0.035	14	97	0.99058	3.1	0.33	11.8	7	
6.7	0.3	0.44	18.75	0.057	65	224	0.99956	3.11	0.53	9.1	5	
6.6	0.15	0.32	6	0.033	59	128	0.99192	3.19	0.71	12.1	8	
7.3	0.34	0.3	9.4	0.057	34	178	0.99554	3.15	0.44	10.4	6	
6	0.17	0.29	9.7	0.044	33	98	0.99536	3.12	0.36	9.2	6	
6.7	0.47	0.29	4.75	0.034	29	134	0.99056	3.29	0.46	13	7	
6.6	0.15	0.32	6	0.033	59	128	0.99192	3.19	0.71	12.1	8	
8	0.24	0.48	6.8	0.047	13	134	0.99616	3.23	0.7	10	5	
5.6	0.34	0.3	6.9	0.038	23	89	0.99266	3.25	0.49	11.1	6	
5.8	0.54	0	1.4	0.033	40	107	0.98918	3.26	0.35	12.4	5	
6.6	0.24	0.27	10.3	0.047	54	219	0.99742	3.04	0.45	8.8	5	
6.6	0.16	0.36	1.1	0.031	27	93	0.98884	3.23	0.34	13.2	8	
6.7	0.16	0.36	2	0.045	24	131	0.99284	3.3	0.59	10.5	6	
6.1	0.36	0.26	8.15	0.035	14	88	0.99031	3.06	0.27	13	7	
7.5	0.21	0.32	4.8	0.056	39	113	0.99393	3.11	0.52	10.2	7	
6	0.28	0.27	15.5	0.036	31	134	0.99408	3.19	0.44	13	7	
6	0.28	0.27	15.5	0.036	31	134	0.99408	3.19	0.44	13	7	
