0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	0
2	2	2	2	2	2	2	2	2	2	2	0
3	3	3	3	3	3	3	3	3	3	3	0
3	3	3	3	3	3	3	3	3	3	3	0
2	2	2	2	2	2	2	2	2	2	2	0
4	4	4	4	0	2	4	4	4	4	4	0
0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	0
2	5	5	5	4	4	5	5	5	0	5	0
2	0	6	6	5	5	6	6	6	5	6	1
5	3	2	7	6	6	7	7	7	6	7	1
6	6	7	8	7	7	8	8	4	7	8	1
7	7	2	5	4	8	9	9	8	8	9	2
8	8	8	9	7	9	10	10	9	9	7	1
7	9	9	5	8	4	11	11	10	10	10	2
1	10	10	10	9	2	12	12	11	11	4	0
4	11	11	8	10	10	8	13	12	12	11	3
9	12	12	10	5	6	13	14	13	6	12	0
10	13	13	11	4	11	14	15	5	13	1	1
4	11	11	8	10	10	8	13	12	12	11	3
11	13	9	12	11	12	15	9	14	14	5	2
12	14	12	13	1	9	16	16	15	15	13	3
13	15	13	5	12	13	17	17	16	16	14	1
7	0	6	14	13	7	18	2	17	4	15	0
0	16	3	15	9	14	19	15	10	13	16	0
14	17	14	16	13	15	20	16	18	2	15	0
0	2	15	17	14	16	21	18	19	6	13	0
9	0	11	10	15	6	1	11	3	1	17	0
3	4	0	18	5	17	22	19	20	17	18	2
15	17	15	19	4	18	18	20	21	6	15	0
8	18	1	10	16	19	23	21	15	3	19	0
9	16	0	20	2	20	24	8	3	2	8	0
4	19	1	5	0	21	25	22	17	16	20	0
16	0	16	21	4	22	26	23	22	18	19	1
17	2	5	13	17	23	27	24	3	19	11	1
10	20	17	22	14	13	28	21	11	14	15	1
0	21	3	8	18	24	29	19	23	20	21	0
17	17	15	23	19	0	28	25	24	11	22	1
17	17	15	23	19	0	28	25	24	11	22	1
18	3	15	24	20	25	30	17	25	11	23	0
18	17	15	12	21	25	31	17	20	21	23	0
0	13	18	25	22	4	32	26	23	22	24	0
7	17	19	26	19	26	33	21	5	5	1	0
18	3	18	26	23	26	34	21	11	5	1	0
9	6	20	26	3	24	35	27	26	6	15	2
4	22	18	27	24	25	36	1	27	8	24	4
4	23	21	27	25	27	37	22	10	8	24	1
0	13	18	25	22	4	32	26	23	22	24	0
14	24	14	28	26	16	38	28	28	15	24	1
3	24	20	1	27	20	39	14	29	2	25	0
7	16	22	10	28	28	40	11	30	23	5	2
4	7	23	10	19	23	41	29	31	22	26	2
11	6	14	16	0	28	42	30	32	14	26	0
12	25	24	29	29	24	1	16	16	24	27	0
14	16	14	14	30	10	43	6	23	8	5	0
3	26	1	30	31	17	44	23	33	13	4	0
19	24	18	31	32	29	45	31	1	11	28	0
7	27	25	32	4	13	46	27	25	24	19	0
9	25	0	8	11	30	47	32	28	21	3	0
12	5	26	33	33	2	27	2	34	22	22	0
19	24	18	31	32	29	45	31	1	11	28	0
0	28	27	10	6	6	48	29	35	21	13	1
7	27	25	32	4	13	46	27	25	24	19	0
3	17	19	26	11	20	16	33	36	22	29	0
4	29	28	8	34	10	49	21	5	25	27	1
11	14	26	34	7	31	40	34	5	1	30	2
18	16	29	8	35	32	50	8	7	19	24	1
18	3	20	35	9	2	51	32	12	26	31	3
9	17	22	36	2	23	52	23	23	14	1	1
4	0	5	37	36	8	53	3	20	16	20	0
12	1	17	32	37	33	54	35	31	27	1	1
19	0	30	38	24	20	55	36	37	17	15	1
5	3	31	16	38	34	56	37	38	1	27	0
18	3	20	35	9	2	51	32	12	26	31	3
9	17	22	36	2	23	52	23	23	14	1	1
20	6	0	26	31	20	57	38	2	18	32	2
0	4	1	14	16	18	58	9	32	28	6	2
9	6	32	39	34	35	59	18	39	5	14	1
18	30	30	22	23	23	52	4	27	18	20	1
12	5	20	26	18	11	22	39	40	29	33	0
20	25	1	40	2	36	60	40	24	27	34	0
20	12	16	41	24	3	61	41	14	19	15	1
17	5	32	42	15	37	37	42	12	22	1	0
20	31	33	43	0	38	62	20	25	0	35	1
20	32	8	43	4	39	33	43	13	22	35	0
3	20	34	44	4	40	63	20	33	2	35	0
12	16	20	45	2	41	64	31	5	15	7	0
20	31	33	43	0	38	62	20	25	0	35	1
20	32	8	43	4	39	33	43	13	22	35	0
3	20	34	44	4	40	63	20	33	2	35	0
21	0	5	11	1	42	65	44	13	4	20	1
14	17	23	13	6	3	4	45	2	3	30	2
14	26	23	46	39	8	4	46	10	30	30	2
22	9	3	13	7	36	66	47	24	2	36	2
20	14	22	31	4	27	67	48	41	19	34	0
19	12	35	47	9	35	61	49	7	13	0	0
5	33	0	8	39	43	68	50	38	11	10	2
23	34	31	48	11	44	69	3	42	31	2	4
19	12	35	47	9	35	61	49	7	13	0	0
9	16	7	49	23	39	70	43	0	2	27	1
20	19	3	50	38	45	71	23	43	30	23	1
19	26	26	51	2	40	61	51	30	12	23	1
22	35	2	52	40	30	0	52	6	22	20	1
9	16	7	49	23	39	70	43	0	2	27	1
17	36	3	53	14	11	7	20	21	14	34	0
20	19	3	50	38	45	71	23	43	30	23	1
20	3	14	54	7	46	13	53	26	32	27	0
20	3	14	54	7	46	13	53	26	32	27	0
14	21	30	14	14	17	72	33	27	27	29	1
10	9	36	3	41	45	73	54	42	12	0	0
3	0	31	55	13	0	74	52	41	8	28	1
3	13	37	45	36	47	75	55	44	4	34	1
18	37	1	56	1	10	38	56	5	16	27	1
18	37	1	56	1	10	38	56	5	16	27	1
24	38	38	5	42	48	59	1	45	3	7	4
19	13	26	57	35	13	9	11	32	2	12	0
0	18	2	13	6	7	76	30	3	19	37	0
3	13	37	45	36	47	75	55	44	4	34	1
17	4	11	45	23	49	77	55	41	13	34	1
25	34	10	58	9	23	57	21	5	16	19	1
26	17	3	59	38	37	29	57	44	25	0	1
9	7	20	60	40	20	78	58	46	21	7	1
14	24	30	28	3	1	20	58	46	11	27	0
11	36	39	1	33	50	30	12	24	11	24	0
18	24	0	10	43	25	9	9	27	15	5	0
9	20	17	4	5	10	79	1	7	19	13	1
10	17	3	61	11	8	80	35	18	25	7	2
21	1	40	62	4	3	26	59	1	33	26	2
21	1	40	63	9	51	81	59	32	33	26	0
27	14	21	19	44	19	82	1	40	18	33	1
10	17	3	61	11	8	80	35	18	25	7	2
10	39	2	64	11	52	83	49	47	33	20	1
7	17	19	65	6	51	84	55	11	16	34	1
12	0	41	66	39	40	80	18	3	8	28	1
18	0	20	67	45	30	26	49	2	5	4	1
28	3	2	8	46	53	85	8	13	24	31	0
20	40	42	48	0	54	62	43	26	2	35	1
12	24	0	68	6	2	51	14	36	25	8	2
